Date,Open,High,Low,Close,Adjusted_close,Volume
2022-07-01,246.35,253.14,246,252.96,248.7378,2531400
2022-07-05,251.15,253,249.66,252.29,248.079,2390700
2022-07-06,252.47,252.86,249.37,251.46,247.2628,1948600
2022-07-07,253.26,254.92,251.18,252.94,248.7181,2396700
2022-07-08,252.6,254.62,252.32,253.24,249.0131,1450300
2022-07-11,252.08,255.4,252.08,253.28,249.0524,1478100
2022-07-12,252.97,255.62,250.76,251.48,247.2825,2112800
2022-07-13,248.96,254.8,248.26,252.67,248.4526,2205300
2022-07-14,249.89,253.1,249.62,252.6,248.3838,2371000
2022-07-15,254.02,256.39,253.45,255.01,250.7536,2627200
2022-07-18,255.24,255.59,252.07,252.42,248.2068,2164400
2022-07-19,253.88,256.62,252.97,256.5,252.2187,2181300
2022-07-20,256.78,256.91,253.47,254.58,250.3307,2183700
2022-07-21,253.99,254.8,252.32,253.47,249.2393,2056500
2022-07-22,253.75,254.53,252.45,253.99,249.7506,2226600
2022-07-25,254.57,254.8,248.66,250.38,246.2008,2860400
2022-07-26,249.56,259.22,248.7,257.09,252.7988,5272300
2022-07-27,255.8,259.91,254.69,258.89,254.5688,2718300
2022-07-28,258.8,264,257.56,263.46,259.0625,2849100
2022-07-29,263.65,264.35,262.1,263.37,258.974,2653800
2022-08-01,262.54,265.46,262.41,264.23,259.8197,2384000
2022-08-02,264.62,265.45,260.89,261.05,256.6927,2375200
2022-08-03,261.05,262.92,259.76,262.09,257.7154,2305300
2022-08-04,261.7,262.18,258.69,260.64,256.2896,2089600
2022-08-05,259.64,260.03,257.07,259.23,254.9031,1818500
2022-08-08,260,260.91,255.34,256.8,252.5137,2253500
2022-08-09,256.9,260.21,256.36,260.06,255.7193,2315800
2022-08-10,262,263.71,260.5,261.36,256.9976,2967900
2022-08-11,263.2,263.27,258.63,259.28,254.9523,2007000
2022-08-12,259.55,262.51,259.55,262.18,257.8039,1530800
2022-08-15,262.21,265.62,261.25,265.44,261.0095,2342700
2022-08-16,265.04,267.13,264.26,266.29,261.8453,1828000
2022-08-17,265.96,267.97,265.58,266.82,262.3664,1699100
2022-08-18,266,267.36,265.42,266.58,262.1304,1591900
2022-08-19,265.94,267.75,265.54,266.54,262.0911,1833800
2022-08-22,264.5,265.79,262.37,262.95,258.561,1986700
2022-08-23,262.62,263.35,260.53,260.54,256.1913,2211100
2022-08-24,260.71,262,259.86,260.86,256.5059,1777200
2022-08-25,261.99,262.68,260.2,262.56,258.1775,1330400
2022-08-26,262.8,263.2,256.39,256.95,252.6612,2357800
2022-08-29,255.5,256.71,254.59,255.66,251.3927,2017500
2022-08-30,256,256.72,252.57,253.49,249.2589,2051300
2022-08-31,254.17,255.68,252.2,252.28,249.427,3119200
2022-09-01,251.82,256.53,251.76,256.47,253.5696,2577800
2022-09-02,257.41,258.58,253.36,254.51,251.6318,1791300
2022-09-06,254.47,256.73,253.38,254.39,251.5131,2645700
2022-09-07,255.14,259.82,254.96,258.42,255.4976,4185200
2022-09-08,257.85,261.08,257.33,260.08,257.1388,2448900
2022-09-09,260.26,260.74,258.21,259.52,256.5851,2007000
2022-09-12,260,261.4,259.42,260.37,257.4255,2204300
2022-09-13,257.74,258.95,253.67,254.33,251.4538,2604900
2022-09-14,255,258.27,254.37,255.72,252.8281,2745200
2022-09-15,255.02,255.23,252.49,253.47,250.6035,2289500
2022-09-16,251.85,255.82,251.75,254.91,252.0273,4304100
2022-09-19,254,257.55,253.35,257.01,254.1035,2195800
2022-09-20,256.1,256.49,252.78,255.4,252.5117,2140200
2022-09-21,255.13,256.91,251.08,251.08,248.2406,2438800
2022-09-22,250.39,250.43,247.65,247.94,245.1361,2300500
2022-09-23,247.21,249.1,244.19,245.95,243.1686,2672100
2022-09-26,245.94,246.25,242.44,243.76,241.0034,3179100
2022-09-27,244.58,244.93,236.56,236.7,234.0232,4193800
2022-09-28,236.13,238.53,233.76,236.94,234.2605,4202400
2022-09-29,236.32,237.66,232.46,234.4,231.7492,3053200
2022-09-30,233.32,234.83,230.58,230.74,228.1306,3629300
2022-10-03,233.52,236.85,231.71,235.34,232.6786,3286700
2022-10-04,236.71,241.05,236.21,238.5,235.8028,3685700
2022-10-05,236.91,240.41,236.14,239.09,236.3862,3033000
2022-10-06,239.34,239.88,234.46,234.75,232.0952,2999200
2022-10-07,233.96,234.6,232.08,233.19,230.5529,2294300
2022-10-10,233.41,236.26,233.41,234.95,232.293,2668700
2022-10-11,234.16,239.12,233.93,237.05,234.3692,3169200
2022-10-12,237.27,240.04,237.06,237.06,234.3791,2709300
2022-10-13,234.46,249.3,234.46,246.75,243.9595,5026900
2022-10-14,249.08,249.43,242.41,243.16,240.4101,2918300
2022-10-17,245.8,247.22,243.53,246.48,243.6926,2758200
2022-10-18,249.37,250.42,247.25,249.19,246.3719,3123600
2022-10-19,250,252.52,249.12,250.75,247.9143,3021300
2022-10-20,249.55,251.75,249.05,249.77,246.9454,2410700
2022-10-21,250.21,255.36,249.5,254.55,251.6713,3254900
2022-10-24,255.28,256.87,253.07,255.32,252.4326,4125100
2022-10-25,254.57,257.28,254.4,255.73,252.838,2689000
2022-10-26,257.84,260.69,256.12,256.61,253.708,3582600
2022-10-27,263,266.99,262.26,265.11,262.1119,4145700
2022-10-28,267.51,274.81,265.99,274.52,271.4155,4647600
2022-10-31,273.06,273.63,270.81,272.66,269.5765,3336100
2022-11-01,273.69,273.79,269.66,272.95,269.8632,2740900
2022-11-02,273,276.67,270.31,270.37,267.3124,3069900
2022-11-03,269.33,274.68,268.38,272.95,269.8632,3225400
2022-11-04,275.6,275.71,272.13,274.62,271.5144,3256500
2022-11-07,275.07,278.08,275.07,276.41,273.2841,3029500
2022-11-08,276.86,279.52,276.5,278.4,275.2516,2628800
2022-11-09,278.51,280.25,277.68,277.79,274.6485,2610800
2022-11-10,281.49,281.67,272.58,275.88,272.7601,4510900
2022-11-11,276.33,277,269.18,271.39,268.3209,4742800
2022-11-14,270.93,274.71,270.58,272.27,269.1909,3357400
2022-11-15,270.25,271.03,266.34,267.84,264.811,5429100
2022-11-16,268.92,274.43,268.92,272.51,269.4282,4132700
2022-11-17,272.07,274.35,270.56,273.36,270.2686,2467400
2022-11-18,273.92,275.1,272.12,273.37,270.2785,2699200
2022-11-21,274.65,274.98,273.1,274.52,271.4155,2974200
2022-11-22,275,275.3,274.3,274.76,271.6528,2770400
2022-11-23,275.55,275.65,272.88,273.27,270.1796,2514800
2022-11-25,274.51,275.32,272.86,275,271.8901,1596600
2022-11-28,274.88,275.94,272.38,272.88,269.794,3160500
2022-11-29,271,271.92,269.47,271.41,268.3407,2873500
2022-11-30,269.62,273.31,268.83,272.79,271.224,5196500
2022-12-01,273.16,274.24,271.39,273.4,271.8305,2599600
2022-12-02,269.81,273.45,269.62,273.4,271.8305,2807500
2022-12-05,271.02,272.57,270,271.59,270.0309,2586900
2022-12-06,271.8,273.37,270.03,271.77,270.2099,3573000
2022-12-07,272.5,273.98,269.67,270.34,268.7881,2766400
2022-12-08,271,273.57,270.62,273.39,271.8206,3022700
2022-12-09,273.61,274.16,271.72,272.04,270.4783,1677400
2022-12-12,272.19,276.71,271.22,276.62,275.032,3230500
2022-12-13,278.68,279.9,273.64,274.28,272.7055,3390100
2022-12-14,275.22,277.08,272.3,274.53,272.954,2660900
2022-12-15,273.79,274.38,269.21,271.73,270.1701,2735300
2022-12-16,270.41,271.02,265.76,266.12,264.5923,5932500
2022-12-19,266.25,268.42,264.67,265.83,264.304,2160800
2022-12-20,266.92,267.94,264.54,267.25,265.7158,1785600
2022-12-21,267.48,269.94,267.31,268.16,266.6206,2366800
2022-12-22,267.27,268.12,263.65,265.77,264.2443,2366700
2022-12-23,265.9,268.35,264.79,267.57,266.034,1269000
2022-12-27,268.66,268.87,266.6,266.84,265.3082,1674700
2022-12-28,268,268.14,265.07,265.11,263.5881,1427800
2022-12-29,265.94,267.81,264.88,265.93,264.4034,1393900
2022-12-30,265.2,265.38,261.4,263.53,262.0172,1720100
2023-01-03,263.53,264.35,259.51,264.33,262.8126,2743800
2023-01-04,266.25,266.55,262.89,264.39,262.8722,2584100
2023-01-05,264.76,264.76,261.38,262.16,260.655,1945600
2023-01-06,263.76,269.89,263.39,269.47,267.9231,2855400
2023-01-09,269.93,269.95,266.77,267.25,265.7158,2654600
2023-01-10,266.98,269.1,266.96,268.91,267.3663,1718400
2023-01-11,269.52,269.74,266.96,268.81,267.2669,2391400
2023-01-12,269.5,269.92,266.19,266.69,265.159,1933000
2023-01-13,266.39,268.95,265.88,268.89,267.3464,2168900
2023-01-17,270.02,275.39,270.02,274.11,272.5364,3640200
2023-01-18,273.51,274.37,265.72,266.04,264.5128,3276500
2023-01-19,266.72,269.14,263.53,263.58,262.0669,2845400
2023-01-20,264.43,268.65,262.83,268.58,267.0382,2587400
2023-01-23,268.84,271.17,267.76,269.29,267.7441,2434000
2023-01-24,236.42,270.16,236.42,269.56,268.0126,2517300
2023-01-25,270.33,273.07,268.82,273,271.4328,3097400
2023-01-26,273,274.75,271.7,274.72,273.1429,2222500
2023-01-27,275,275.31,271.97,272.46,270.8959,2202500
2023-01-30,271.67,272.57,270.06,270.89,269.3349,2862400
2023-01-31,265.09,267.51,263.25,267.4,265.865,5477900
2023-02-01,267.02,268.46,263.5,266.27,264.7414,3557700
2023-02-02,264.89,265.98,262.02,263.21,261.699,3735600
2023-02-03,262.63,265.22,261.35,264.23,262.7132,3005900
2023-02-06,264.99,268.2,264.36,267.92,266.382,2863900
2023-02-07,265.02,267.77,263.63,267.34,265.8053,2514000
2023-02-08,265.09,265.89,262.45,262.82,261.3113,2801800
2023-02-09,263.69,263.95,260.19,260.66,259.1637,3534600
2023-02-10,260.87,262.69,260.29,262.42,260.9135,3049900
2023-02-13,263.7,266.79,263,266.2,264.6718,2418300
2023-02-14,266.65,267.52,264.59,266.61,265.0795,2202100
2023-02-15,266.27,267.68,265.15,266.56,265.0298,1862700
2023-02-16,265.07,267.71,263.28,265.83,264.304,2785400
2023-02-17,266.3,270,265.33,269.99,268.4401,3055600
2023-02-21,269.29,270.24,267.61,268.55,267.0084,2824300
2023-02-22,268.2,270.48,267.66,268.64,267.0978,2192000
2023-02-23,267.7,267.87,263.96,266.78,265.2485,4217000
2023-02-24,265.91,266.28,262.25,263.68,262.1663,2645300
2023-02-27,265.03,266.3,263.54,264.78,263.26,2024800
2023-02-28,263.14,264.58,262.81,263.91,263.91,2853400
2023-03-01,262.54,263.53,261.68,262.72,262.72,2058900
2023-03-02,262.45,268.46,262.31,267.57,267.57,2385900
2023-03-03,268.42,269.38,266.2,269.07,269.07,2725800
2023-03-06,269.15,270.78,268.9,270.64,270.64,2217600
2023-03-07,271.52,273.15,266.82,267.13,267.13,2766600
2023-03-08,265.86,266.16,263.14,265.33,265.33,2314000
2023-03-09,267.09,267.61,260.87,261.63,261.63,2339300
2023-03-10,263.73,266.58,261.26,262.03,262.03,3091300
2023-03-13,260.37,267.4,260.37,263.08,263.08,3552400
2023-03-14,263.12,266.94,262.6,265.9,265.9,3194400
2023-03-15,264.58,266.41,262.57,266.34,266.34,3419400
2023-03-16,265.78,270.68,265.51,270.57,270.57,3097900
2023-03-17,269.57,269.97,265.71,267.2,267.2,5074800
2023-03-20,267.84,271.38,267.84,270.74,270.74,2108900
2023-03-21,270,270.87,267.62,270.21,270.21,3120100
2023-03-22,270.04,271.98,267.71,267.87,267.87,2240800
2023-03-23,267.99,271.48,267.99,269.62,269.62,2263800
2023-03-24,270.37,271.83,268.84,271.33,271.33,2229200
2023-03-27,272,274.95,270.57,273.84,273.84,2799100
2023-03-28,273.99,276.22,273.51,275.85,275.85,2036000
2023-03-29,277,278.15,276.45,277.44,277.44,2053400
2023-03-30,277.26,278.4,276.5,277.79,277.79,1788800
2023-03-31,278.92,280.64,278.5,279.61,279.61,2902100
2023-04-03,280.99,282.87,279.68,282.14,282.14,2352700
2023-04-04,281.41,283.42,280.39,282.28,282.28,2282300
2023-04-05,283.49,284.98,281.78,282.02,282.02,2600800
2023-04-06,282.43,283.49,281.57,282.89,282.89,1731000
2023-04-10,283.18,284.17,281.99,283.78,283.78,1941800
2023-04-11,283.17,285.54,282.75,284.48,284.48,2732900
2023-04-12,283.85,286.79,283.5,285.3,285.3,2557400
2023-04-13,286.57,289.54,286.11,289.07,289.07,3229300
2023-04-14,289.29,289.94,287.62,288.98,288.98,2054200
2023-04-17,289.84,290.51,288.18,289.31,289.31,2371000
2023-04-18,289.4,291.19,289,290.91,290.91,2086700
2023-04-19,290.91,291.6,290.19,291.27,291.27,2254000
2023-04-20,290.96,291.67,289.88,291,291,2274200
2023-04-21,292.32,292.53,290.51,292.06,292.06,2170400
2023-04-24,292.83,293.43,291.71,293.2,293.2,2995200
2023-04-25,295,295,289.43,291.51,291.51,5845200
2023-04-26,289.98,291.5,289.76,289.76,289.76,3290000
2023-04-27,290.72,295.05,290,294.72,294.72,3142300
2023-04-28,294.83,296.18,293.91,295.75,295.75,2837200
2023-05-01,295.72,298.8,295.65,297.58,297.58,2124400
2023-05-02,297.37,298.46,295.58,298.07,298.07,2083800
2023-05-03,296.76,297.26,294.65,295.22,295.22,2425500
2023-05-04,296.06,296.31,293.47,295.16,295.16,2005300
2023-05-05,295.77,297.02,294.46,296.6,296.6,1815400
2023-05-08,297.1,297.37,295.57,296.69,296.69,2969600
2023-05-09,298.63,298.86,296.3,296.66,296.66,1637500
2023-05-10,296.38,298,293.84,296.57,296.57,1849300
2023-05-11,296.5,296.94,293.36,294.79,294.79,1955100
2023-05-12,295.19,296.43,294.31,296.14,296.14,1801700
